#{"t_start": 1614269377.5518239, "env_id": "ObstacleAvoidanceMir100Sim-v0"}
r,l,t
-111.228665,500,111.713609
-241.970038,361,190.315702
-135.382007,500,298.595794
12.868063,500,405.426379
-216.602753,121,431.32534
-269.571411,135,462.414137
-298.807004,263,519.761543
-84.672971,500,628.152261
-3.780482,500,735.773746
-221.950249,426,825.926946
-235.696407,488,930.301717
-37.175434,500,1038.202149
-190.690816,358,1113.363967
-184.426761,315,1180.834656
-182.650119,287,1243.024548
-174.306251,120,1268.947512
63.353924,500,1375.168059
-13.849826,500,1483.021617
-195.084068,258,1538.05684
2.072124,500,1644.899096
-11.279041,500,1751.437721
-52.02588,500,1857.77702
-17.689004,500,1964.801343
-147.191881,206,2008.990761
4.943077,500,2116.135036
-155.2604,157,2150.169228
0.915224,500,2265.357699
-191.997038,313,2348.201539
-38.872331,500,2483.680512
-21.556272,500,2612.894651
-187.314492,353,2688.300419
7.386476,500,2794.521623
-165.529245,441,2888.20153
1.169195,500,2994.045089
-152.337939,68,3009.2018
-116.927913,205,3052.664551
-177.201695,284,3113.628084
-13.351725,500,3219.152538
-32.515644,500,3324.977128
-169.12882,152,3359.156628
-154.1626,209,3405.387629
-162.286508,144,3436.923935
-7.032959,500,3544.734438
-170.215888,212,3589.995101
-0.667027,500,3696.503127
-32.304637,500,3802.330873
-146.211473,344,3876.06599
-162.202888,410,3963.39905
-167.134178,100,3986.072223
-217.245139,483,4089.861069
-179.352839,418,4179.425049
-200.188264,101,4201.544172
-168.495344,380,4281.798423
-20.933967,500,4388.193234
-147.893008,281,4447.952998
8.559168,500,4554.745721
-192.308409,98,4576.233869
-215.718474,457,4674.31377
-119.226854,233,4723.405615
-60.074737,500,4829.929642
-13.274631,500,4936.073611
14.195737,500,5042.210874
-194.852275,224,5089.651976
-13.28293,500,5197.334286
-148.954836,104,5219.057025
-172.65385,213,5265.020767
-141.883969,126,5292.107567
-182.923796,168,5328.83936
-153.696018,140,5360.114225
-157.581633,347,5432.74339
-47.824021,500,5540.409561
-193.950208,201,5583.447882
-164.947163,155,5617.517695
13.240156,500,5724.598744
-170.490983,127,5751.503264
-144.99586,135,5781.13635
-17.367214,500,5887.222583
-153.895848,128,5914.296176
-176.805079,150,5947.719701
-27.076046,500,6053.951801
-160.454619,101,6076.23148
-39.021163,500,6183.350473
-121.367778,233,6233.678672
-166.696857,274,6292.462737
-34.407465,500,6397.173139
-163.540327,111,6421.236067
36.980369,500,6527.942521
-206.411526,17,6533.194834
-183.577329,256,6594.694278
-147.87408,216,6640.757407
-137.209367,299,6703.503526
-21.467039,500,6809.576647
-172.110484,186,6849.310393
-173.899018,58,6862.98668
-179.003855,136,6892.89872
-150.968777,109,6916.095273
-19.27486,500,7020.9285
-155.878028,431,7111.507453
-113.965891,144,7141.659117
-233.996964,116,7167.002329
-120.58417,191,7207.948149
-137.146264,331,7276.796671
-135.186674,356,7350.891636
-143.065686,134,7379.574281
-169.221535,110,7403.147353
-144.647791,105,7426.169133
-163.492847,38,7434.790397
-59.84221,500,7537.440286
-188.264346,215,7583.034542
-55.831223,500,7689.05886
1.267437,500,7793.794895
-153.836456,323,7862.233671
-185.592549,494,7966.508678
-149.731641,64,7980.152148
-196.217332,108,8003.880392
-20.290417,500,8108.787739
-153.494264,99,8129.840526
9.17643,500,8234.917144
-159.167289,318,8303.045495
-183.685611,326,8372.489888
-14.016669,500,8480.308887
-31.255479,500,8585.701956
-186.384425,210,8630.328563
-183.684649,120,8656.349949
-167.796134,238,8707.044225
-159.934392,174,8743.850791
-129.56652,197,8785.624111
-170.205376,335,8855.819466
-183.652587,101,8877.680413
-117.199317,170,8913.536893
-136.432802,190,8953.52234
-142.59363,94,8973.905536
-183.236057,192,9014.76539
-165.878063,97,9035.243153
73.422191,500,9142.831126
-146.623001,161,9176.531191
-178.770437,17,9180.564404
-125.281305,257,9235.18518
-23.616743,500,9341.306365
22.931427,500,9447.514448
-10.736887,500,9551.42985
-171.293748,318,9618.787165
-154.534876,63,9632.727177
-156.314343,170,9668.579244
-34.70729,500,9775.761264
-5.447807,500,9883.332832
-4.541627,500,9989.096169
-137.642763,91,10008.783817
-113.217451,336,10079.548835
-34.526095,500,10184.733426
-173.725211,36,10193.106989
-165.269023,163,10228.193508
-168.131854,80,10245.569525
-144.464787,114,10270.116177
-173.665877,176,10307.657395
-166.056587,77,10324.134881
-161.540922,106,10346.780821
-129.240939,103,10369.747262
-29.532589,500,10474.385443
-144.216415,249,10527.36331
-214.364654,465,10625.020989
-83.013378,182,10664.180041
-167.964747,382,10743.407185
-115.827812,271,10800.469986
-111.743952,204,10842.393327
8.596169,500,10947.276674
-172.982475,46,10958.043957
-19.081172,500,11060.9307
-147.560955,182,11099.058615
-172.515105,88,11119.114099
-141.440198,456,11213.44274
-123.939616,149,11245.14966
-49.869381,500,11348.663553
-172.801089,68,11363.686277
-97.169828,287,11423.464106
-107.622337,128,11450.462746
